ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_duration,temp_air_fin,prcp_perday,p_top,rh_surf,dt,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
5.327510845438027,-94.80383130978498,0.6968241909147566,-363.32525016986153,0.2043052083333333,-255.011261162491,2.8442700602312776,-121.93958402367066,0.2,0.25,-20,2,400,0.8,1.0,eq,1.0,6.5,5,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-363.32525016986153,0.2043052083333333,-255.011261162491,2.8442700602312776,-121.93958402367066,0.2,0.25,-20,2,400,0.8,1.0,eq,1.0,35.0,5,5
3.7378786914194815,-96.2405924772778,0.6968241909147566,-327.3324346811119,0.2043052083333333,-212.89503229622363,2.8442700602312776,-121.33453845974584,0.2,0.25,-20,2,400,0.8,1.0,eq,1.0,6.5,0,5
3.7378786914194815,-97.91502633725602,0.6968241909147566,-329.0068685410901,0.2043052083333333,-214.85433552697347,2.8442700602312776,-121.36268598767175,0.2,0.25,-20,2,400,0.8,1.0,eq,0.5,6.5,0,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-348.0515354700857,0.2043052083333333,-245.5967033080968,2.8442700602312776,-121.80433363161391,0.2,0.25,-20,2,400,0.8,1.0,eff,1.0,35.0,5,5
5.327510845438027,-97.19987474980884,0.6968241909147566,-365.72129360988544,0.2043052083333333,-257.81494052253805,2.8442700602312776,-121.97986193565691,0.2,0.25,-20,2,400,0.8,1.0,eq,0.5,6.5,5,5
5.327510845438027,-99.12385130279266,0.6968241909147566,-367.6452701628692,0.2043052083333333,-260.06624083707646,2.8442700602312776,-122.01220432017334,0.2,0.25,-20,2,400,0.8,1.0,eq,0.5,35.0,5,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-348.0515354700857,0.2043052083333333,-245.5967033080968,2.8442700602312776,-121.80433363161391,0.2,0.25,-20,2,400,0.8,1.0,eff,1.0,6.5,5,5
3.7378786914194815,-100.40969001363108,0.6968241909147566,-331.5015322174652,0.2043052083333333,-217.77341326257755,2.8442700602312776,-121.40462172318811,0.2,0.25,-20,2,400,0.8,1.0,eq,0.5,35.0,0,5
3.7378786914194815,-96.2405924772778,0.6968241909147566,-313.16890553735317,0.2043052083333333,-205.2320754943428,2.8442700602312776,-121.22445172728348,0.2,0.25,-20,2,400,0.8,1.0,eff,1.0,6.5,0,5
3.7378786914194815,-97.3964960215078,0.6968241909147566,-314.32480908158317,0.2043052083333333,-206.56963566226085,2.8442700602312776,-121.2436672379752,0.2,0.25,-20,2,400,0.8,1.0,eff,1.0,35.0,0,5
5.327510845438027,-97.19987474980884,0.6968241909147566,-350.4475789101096,0.2043052083333333,-248.36929820323164,2.8442700602312776,-121.84416498135776,0.2,0.25,-20,2,400,0.8,1.0,eff,0.5,6.5,5,5
5.327510845438027,-94.80383130978498,0.664380693404857,-375.73048077340303,0.3064578125,-268.59069729683705,2.864700581064611,-123.17916506544758,0.2,0.25,-20,2,500,0.7,0.5,eq,1.0,6.5,5,5
3.7378786914194815,-97.91502633725602,0.6968241909147566,-314.84333939733136,0.2043052083333333,-207.1696558800212,2.8442700602312776,-121.25228718284676,0.2,0.25,-20,2,400,0.8,1.0,eff,0.5,6.5,0,5
3.7378786914194815,-100.40969001363108,0.6968241909147566,-317.3380030737065,0.2043052083333333,-210.0563697261909,2.8442700602312776,-121.293757975792,0.2,0.25,-20,2,400,0.8,1.0,eff,0.5,35.0,0,5
5.327510845438027,-99.12385130279266,0.6968241909147566,-352.3715554630934,0.2043052083333333,-250.59563829381793,2.8442700602312776,-121.87614878503294,0.2,0.25,-20,2,400,0.8,1.0,eff,0.5,35.0,5,5
3.7378786914194815,-96.2405924772778,0.664380693404857,-339.23199218772845,0.3064578125,-225.82793218125067,2.864700581064611,-122.2642363960852,0.2,0.25,-20,2,500,0.7,0.5,eq,1.0,6.5,0,5
5.327510845438027,-94.80383130978498,0.664380693404857,-375.73048077340303,0.3064578125,-268.59069729683705,2.864700581064611,-123.17916506544758,0.2,0.25,-20,2,500,0.7,0.5,eq,1.0,35.0,5,5
5.327510845438027,-97.19987474980884,0.664380693404857,-378.126524213427,0.3064578125,-271.397976359681,2.864700581064611,-123.23922806863618,0.2,0.25,-20,2,500,0.7,0.5,eq,0.5,6.5,5,5
3.7378786914194815,-100.40969001363108,0.664380693404857,-343.4010897240817,0.3064578125,-230.7125766034135,2.864700581064611,-122.36874556917998,0.2,0.25,-20,2,500,0.7,0.5,eq,0.5,35.0,0,5
3.7378786914194815,-97.3964960215078,0.664380693404857,-340.38789573195845,0.3064578125,-227.1822247470403,2.864700581064611,-122.293212097067,0.2,0.25,-20,2,500,0.7,0.5,eq,1.0,35.0,0,5
5.327510845438027,-99.12385130279266,0.664380693404857,-380.0505007664108,0.3064578125,-273.65216716648735,2.864700581064611,-123.28745749883764,0.2,0.25,-20,2,500,0.7,0.5,eq,0.5,35.0,5,5
3.7378786914194815,-97.91502633725602,0.664380693404857,-326.0017215772819,0.3064578125,-219.2353325700483,2.864700581064611,-122.12318475048622,0.2,0.25,-20,2,500,0.7,0.5,eff,0.5,6.5,0,5
5.327510845438027,-99.12385130279266,0.664380693404857,-364.0538329381154,0.3064578125,-263.3154053864941,2.864700581064611,-123.06629781294454,0.2,0.25,-20,2,500,0.7,0.5,eff,0.5,35.0,5,5
3.7378786914194815,-100.40969001363108,0.664380693404857,-328.49638525365697,0.3064578125,-222.12518421238707,2.864700581064611,-122.18501443129924,0.2,0.25,-20,2,500,0.7,0.5,eff,0.5,35.0,0,5
