ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_perday,prcp_duration,CLOUD_AGING,p_btm,p_top,delta_q_surf,rh_surf,dt,temp_air_fin,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
3.7378786914194815,-12.85779587538116,1.7398467296524174,-21.812804903588386,0.10215260416666666,-9.283221857825236,2.8238395393979445,-14.958639025587917,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,1,6.5,0,5
3.7378786914194815,-18.035901907714646,1.7398467296524174,-27.987045310106954,0.10215260416666666,-13.908800570947973,2.8238395393979445,-14.992105155991586,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,0.5,35,0,5
5.327510845438027,-16.43988535183849,1.7398467296524174,-30.336634306871055,0.10215260416666666,-16.293474847283296,2.8238395393979445,-15.009358309651223,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,0.5,35,5,5
5.327510845438027,-14.048893679109554,1.7398467296524174,-26.709879336495256,0.10215260416666666,-14.244951003354988,2.8238395393979445,-14.99453720934174,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,0.5,6.5,5,5
3.7378786914194815,-14.294863446949414,1.7398467296524174,-23.249872475156643,0.10215260416666666,-10.739262633136137,2.8238395393979445,-14.969173502132783,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,1,35,0,5
3.7378786914194815,-18.035901907714646,1.7398467296524174,-26.990910935921875,0.10215260416666666,-14.529692984908749,2.8238395393979445,-14.996597321789817,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,0.5,35,0,5
3.7378786914194815,-14.936640119945,1.7398467296524174,-23.891649148152226,0.10215260416666666,-11.38951250513046,2.8238395393979445,-14.973878069573953,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,0.5,6.5,0,5
5.327510845438027,-16.43988535183849,1.7398467296524174,-29.1008710092242,0.10215260416666666,-16.667510274584433,2.8238395393979445,-15.012064461499941,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,0.5,35,5,5
5.327510845438027,-11.073186114760825,0.664380693404857,-41.02755752487721,0.10215260416666666,-24.625069425067387,2.8238395393979445,-12.58772505662531,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,1,6.5,5,5
5.327510845438027,-14.048893679109554,0.664380693404857,-44.00326508922595,0.10215260416666666,-27.65595779435777,2.8238395393979445,-12.609653578805169,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,0.5,6.5,5,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-40.246976635003655,0.10215260416666666,-23.830013631034067,2.8238395393979445,-12.581972816196219,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,1,35,0,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-38.8099090634354,0.10215260416666666,-22.36629742423006,2.8238395393979445,-12.571382807791021,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-41.02755752487721,0.10215260416666666,-24.625069425067387,2.8238395393979445,-12.58772505662531,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,1,35,5,5
5.327510845438027,-11.073186114760825,0.664380693404857,-37.66990189971462,0.10215260416666666,-23.618137341396558,2.8238395393979445,-12.580439888106977,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,1,6.5,5,5
3.7378786914194815,-18.035901907714646,0.664380693404857,-43.988015095768894,0.10215260416666666,-27.640425008675738,2.8238395393979445,-12.609541198871032,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,0.5,35,0,5
5.327510845438027,-16.43988535183849,0.664380693404857,-46.39425676195488,0.10215260416666666,-30.09128744123925,2.8238395393979445,-12.627273224819934,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,0.5,35,5,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-37.12510178818729,0.10215260416666666,-23.0647171085863,2.8238395393979445,-12.576435884537274,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,1,35,0,5
3.7378786914194815,-14.936640119945,0.664380693404857,-40.888753307999245,0.10215260416666666,-24.483691256210633,2.8238395393979445,-12.586702183482457,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eq,0.5,6.5,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-37.66990189971462,0.10215260416666666,-23.618137341396558,2.8238395393979445,-12.580439888106977,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,1,35,5,5
3.7378786914194815,-14.936640119945,0.664380693404857,-37.76687846118287,0.10215260416666666,-23.716648318323244,2.8238395393979445,-12.581152616481962,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,0.664380693404857,-40.645609464063334,0.10215260416666666,-26.640928156363483,2.8238395393979445,-12.602309824361612,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,0.5,6.5,5,5
5.327510845438027,-16.43988535183849,0.664380693404857,-43.03660113679226,0.10215260416666666,-29.069751389379928,2.8238395393979445,-12.619882396375793,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,0.5,35,5,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-35.68803421661903,0.10215260416666666,-21.604911478502018,2.8238395393979445,-12.5658741692124,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-12.493283796190635,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,1,6.5,5,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-12.493283796190635,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,1,35,5,5
3.7378786914194815,-18.035901907714646,0.664380693404857,-40.866140248952505,0.10215260416666666,-26.864948298320975,2.8238395393979445,-12.603930613402037,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-20,eff,0.5,35,0,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-23.607524244155858,0.10215260416666666,-9.320563459086468,2.8238395393979445,-12.47699672960123,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,1,6.5,0,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-25.04459181572411,0.10215260416666666,-10.779337191500892,2.8238395393979445,-12.487550979131123,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,1,35,0,5
5.327510845438027,-14.048893679109554,1.6648435882347152,-28.800880269946397,0.10215260416666666,-14.592362435926727,2.8238395393979445,-12.515138273170745,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,0.5,6.5,5,5
5.327510845438027,-16.43988535183849,1.6648435882347152,-31.19187194267533,0.10215260416666666,-17.0194687986104,2.8238395393979445,-12.532698423602717,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,0.5,35,5,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-27.709188161883162,0.10215260416666666,-15.156858106650121,2.8238395393979445,-12.51922240769765,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,0.5,35,0,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-23.968149701117934,0.10215260416666666,-11.36596045558992,2.8238395393979445,-12.491795207123179,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,1,35,0,5
3.7378786914194815,-14.936640119945,1.6648435882347152,-24.60992637411352,0.10215260416666666,-12.016290493002955,2.8238395393979445,-12.496500354562624,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,0.5,6.5,0,5
5.327510845438027,-16.43988535183849,1.6648435882347152,-29.87964904972292,0.10215260416666666,-17.356246102156156,2.8238395393979445,-12.53513501237502,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,0.5,35,5,5
5.327510845438027,-14.048893679109554,1.6648435882347152,-27.488657376993988,0.10215260416666666,-14.933388168239468,2.8238395393979445,-12.517605599388082,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,0.5,6.5,5,5
3.7378786914194815,-14.936640119945,1.6648435882347152,-25.686368488719694,0.10215260416666666,-11.430807568465353,2.8238395393979445,-12.49226437694395,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,0.5,6.5,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-39.699339980638186,0.10215260416666666,-23.36369721023398,2.8238395393979445,-12.578599009994695,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,1,6.5,5,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-28.785630276489343,0.10215260416666666,-14.576882099215604,2.8238395393979445,-12.515026272705732,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eq,0.5,35,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-37.538344188618254,0.10215260416666666,-21.163000045523667,2.8238395393979445,-12.562676933458805,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,1,6.5,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-24.512949812645264,0.10215260416666666,-11.918021463476807,2.8238395393979445,-12.49578937668061,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,1,35,5,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-24.512949812645264,0.10215260416666666,-11.918021463476807,2.8238395393979445,-12.49578937668061,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,1,6.5,5,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-22.531082129549677,0.10215260416666666,-9.909740173857855,2.8238395393979445,-12.481259431846748,0.2,1,0.25,True,700,400,-12.5,0.7,0.5,-10,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-39.699339980638186,0.10215260416666666,-23.36369721023398,2.8238395393979445,-12.578599009994695,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,1,35,5,5
3.7378786914194815,-14.294863446949414,0.6968241909147566,-38.97541176018651,0.10215260416666666,-22.62646912860774,2.8238395393979445,-12.573265153920211,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,1,35,0,5
3.7378786914194815,-14.936640119945,0.6968241909147566,-39.6171884331821,0.10215260416666666,-23.280036391375663,2.8238395393979445,-12.577993722732828,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,0.6968241909147566,-42.67504754498692,0.10215260416666666,-26.394073865297855,2.8238395393979445,-12.60052382991461,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,0.5,6.5,5,5
5.327510845438027,-16.43988535183849,0.6968241909147566,-45.066039217715854,0.10215260416666666,-28.828992347918625,2.8238395393979445,-12.618140501149956,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,0.5,35,5,5
3.7378786914194815,-18.035901907714646,0.6968241909147566,-42.71645022095176,0.10215260416666666,-26.436237182753164,2.8238395393979445,-12.60082888213998,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eq,0.5,35,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-34.57103183991974,0.10215260416666666,-20.529460250303142,2.8238395393979445,-12.558093263670077,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-36.492398708477886,0.10215260416666666,-22.480988629812334,2.8238395393979445,-12.572212600359789,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,1,6.5,5,5
5.327510845438027,-16.43988535183849,0.6968241909147566,-41.85909794555555,0.10215260416666666,-27.93193401503805,2.8238395393979445,-12.611650270843544,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,0.5,35,5,5
3.7378786914194815,-12.85779587538116,1.7398467296524174,-22.808939277773465,0.10215260416666666,-8.653372378034463,2.8238395393979445,-12.472169592261828,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-36.492398708477886,0.10215260416666666,-22.480988629812334,2.8238395393979445,-12.572212600359789,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,1,35,5,5
3.7378786914194815,-18.035901907714646,0.6968241909147566,-39.74913787225322,0.10215260416666666,-25.78885190504108,2.8238395393979445,-12.596145040080774,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,0.5,35,0,5
5.327510845438027,-16.43988535183849,1.7398467296524174,-30.336634306871055,0.10215260416666666,-16.293474847283296,2.8238395393979445,-12.527445846627238,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,0.5,35,5,5
3.7378786914194815,-14.294863446949414,1.7398467296524174,-24.24600684934172,0.10215260416666666,-10.111898986729695,2.8238395393979445,-12.482722053847928,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,1,35,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-23.734171772146524,0.10215260416666666,-11.229955999099511,2.8238395393979445,-12.49081121286899,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,1,6.5,5,5
3.7378786914194815,-18.035901907714646,1.7398467296524174,-27.987045310106954,0.10215260416666666,-13.908800570947973,2.8238395393979445,-12.510192692967493,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,0.5,35,0,5
5.327510845438027,-14.048893679109554,1.7398467296524174,-27.945642634142125,0.10215260416666666,-13.866779648809917,2.8238395393979445,-12.509888670974245,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,0.5,6.5,5,5
3.7378786914194815,-14.936640119945,0.6968241909147566,-36.64987608448359,0.10215260416666666,-22.64093807696441,2.8238395393979445,-12.573369836975544,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,0.6968241909147566,-39.4681062728266,0.10215260416666666,-25.503408687071232,2.8238395393979445,-12.59407985417682,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,0.5,6.5,5,5
3.7378786914194815,-14.294863446949414,0.6968241909147566,-36.008099411488,0.10215260416666666,-21.989086829202193,2.8238395393979445,-12.568653683556864,0.2,1,0.25,True,700,400,-12.5,0.7,1,-20,eff,1,35,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-24.969935069793394,0.10215260416666666,-10.846637278244195,2.8238395393979445,-12.488037896254077,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,1,35,5,5
3.7378786914194815,-14.936640119945,1.7398467296524174,-24.887783522337305,0.10215260416666666,-10.763259001330438,2.8238395393979445,-12.487434653187467,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,0.5,6.5,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-24.969935069793394,0.10215260416666666,-10.846637278244195,2.8238395393979445,-12.488037896254077,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eq,1,6.5,5,5
3.7378786914194815,-12.85779587538116,1.7398467296524174,-21.812804903588386,0.10215260416666666,-9.283221857825236,2.8238395393979445,-12.476726562563822,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-23.734171772146524,0.10215260416666666,-11.229955999099511,2.8238395393979445,-12.49081121286899,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,1,35,5,5
3.7378786914194815,-14.936640119945,1.7398467296524174,-23.891649148152226,0.10215260416666666,-11.38951250513046,2.8238395393979445,-12.491965606549972,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,0.5,6.5,0,5
3.7378786914194815,-18.035901907714646,1.7398467296524174,-26.990910935921875,0.10215260416666666,-14.529692984908749,2.8238395393979445,-12.514684858765722,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,0.5,35,0,5
5.327510845438027,-14.048893679109554,1.7398467296524174,-26.709879336495256,0.10215260416666666,-14.244951003354988,2.8238395393979445,-12.512624746317758,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,0.5,6.5,5,5
3.7378786914194815,-18.035901907714646,0.664380693404857,-43.988015095768894,0.10215260416666666,-27.640425008675738,2.8238395393979445,-12.609541198871032,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,0.5,35,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-41.02755752487721,0.10215260416666666,-24.625069425067387,2.8238395393979445,-12.58772505662531,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,1,6.5,5,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-40.246976635003655,0.10215260416666666,-23.830013631034067,2.8238395393979445,-12.581972816196219,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,1,35,0,5
3.7378786914194815,-14.936640119945,0.664380693404857,-40.888753307999245,0.10215260416666666,-24.483691256210633,2.8238395393979445,-12.586702183482457,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,0.5,6.5,0,5
5.327510845438027,-16.43988535183849,0.664380693404857,-46.39425676195488,0.10215260416666666,-30.09128744123925,2.8238395393979445,-12.627273224819934,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,0.5,35,5,5
3.7378786914194815,-14.294863446949414,1.7398467296524174,-23.249872475156643,0.10215260416666666,-10.739262633136137,2.8238395393979445,-12.487261039108688,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,1,35,0,5
5.327510845438027,-14.048893679109554,0.664380693404857,-44.00326508922595,0.10215260416666666,-27.65595779435777,2.8238395393979445,-12.609653578805169,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,0.5,6.5,5,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-38.8099090634354,0.10215260416666666,-22.36629742423006,2.8238395393979445,-12.571382807791021,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-41.02755752487721,0.10215260416666666,-24.625069425067387,2.8238395393979445,-12.58772505662531,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eq,1,35,5,5
5.327510845438027,-16.43988535183849,1.7398467296524174,-29.1008710092242,0.10215260416666666,-16.667510274584433,2.8238395393979445,-12.530151998475848,0.2,1,0.25,True,700,400,-12.5,0.7,1,-10,eff,0.5,35,5,5
3.7378786914194815,-12.85779587538116,0.664380693404857,-35.68803421661903,0.10215260416666666,-21.604911478502018,2.8238395393979445,-12.5658741692124,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-37.66990189971462,0.10215260416666666,-23.618137341396558,2.8238395393979445,-12.580439888106977,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,1,6.5,5,5
3.7378786914194815,-14.294863446949414,0.664380693404857,-37.12510178818729,0.10215260416666666,-23.0647171085863,2.8238395393979445,-12.576435884537274,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,1,35,0,5
5.327510845438027,-11.073186114760825,0.664380693404857,-37.66990189971462,0.10215260416666666,-23.618137341396558,2.8238395393979445,-12.580439888106977,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,1,35,5,5
5.327510845438027,-16.43988535183849,0.664380693404857,-43.03660113679226,0.10215260416666666,-29.069751389379928,2.8238395393979445,-12.619882396375793,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,0.5,35,5,5
3.7378786914194815,-14.936640119945,0.664380693404857,-37.76687846118287,0.10215260416666666,-23.716648318323244,2.8238395393979445,-12.581152616481962,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,0.5,6.5,0,5
5.327510845438027,-14.048893679109554,0.664380693404857,-40.645609464063334,0.10215260416666666,-26.640928156363483,2.8238395393979445,-12.602309824361612,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-20,eff,0.5,6.5,5,5
5.327510845438027,-14.048893679109554,1.6648435882347152,-28.800880269946397,0.10215260416666666,-14.592362435926727,2.8238395393979445,-12.515138273170745,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,0.5,6.5,5,5
5.327510845438027,-16.43988535183849,1.6648435882347152,-31.19187194267533,0.10215260416666666,-17.0194687986104,2.8238395393979445,-12.532698423602717,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,0.5,35,5,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-23.607524244155858,0.10215260416666666,-9.320563459086468,2.8238395393979445,-12.47699672960123,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,1,6.5,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-12.493283796190635,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,1,35,5,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-25.825172705597662,0.10215260416666666,-11.571708351135511,2.8238395393979445,-12.493283796190635,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,1,6.5,5,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-25.04459181572411,0.10215260416666666,-10.779337191500892,2.8238395393979445,-12.487550979131123,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,1,35,0,5
3.7378786914194815,-12.85779587538116,1.6648435882347152,-22.531082129549677,0.10215260416666666,-9.909740173857855,2.8238395393979445,-12.481259431846748,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eff,1,6.5,0,5
5.327510845438027,-11.073186114760825,1.6648435882347152,-24.512949812645264,0.10215260416666666,-11.918021463476807,2.8238395393979445,-12.49578937668061,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eff,1,6.5,5,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-28.785630276489343,0.10215260416666666,-14.576882099215604,2.8238395393979445,-12.515026272705732,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,0.5,35,0,5
3.7378786914194815,-14.936640119945,1.6648435882347152,-25.686368488719694,0.10215260416666666,-11.430807568465353,2.8238395393979445,-12.49226437694395,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eq,0.5,6.5,0,5
3.7378786914194815,-14.294863446949414,1.6648435882347152,-23.968149701117934,0.10215260416666666,-11.36596045558992,2.8238395393979445,-12.491795207123179,0.2,1,0.25,True,700,400,-12.5,0.8,0.5,-10,eff,1,35,0,5
