ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_duration,temp_air_fin,prcp_perday,p_top,rh_surf,dt,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
5.327510845438027,-94.80383130978498,0.664380693404857,-375.73048077340303,0.20430520833333332,-268.58926588184846,2.8442700602312776,-122.13464687102305,0.2,0.25,-20,2,400,0.7,0.5,eq,1,6.5,5,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-363.32525016986153,0.20430520833333332,-255.011261162491,2.8442700602312776,-121.93958402367066,0.2,0.25,-20,2,400,0.7,1,eq,1,6.5,5,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-363.32525016986153,0.20430520833333332,-255.011261162491,2.8442700602312776,-121.93958402367066,0.2,0.25,-20,2,400,0.7,1,eq,1,35,5,5
3.7378786914194815,-96.24059247727779,0.6968241909147566,-327.3324346811119,0.20430520833333332,-212.89503229622363,2.8442700602312776,-121.33453845974584,0.2,0.25,-20,2,400,0.7,1,eq,1,6.5,0,5
3.7378786914194815,-97.91502633725602,0.6968241909147566,-329.0068685410901,0.20430520833333332,-214.85433552697347,2.8442700602312776,-121.36268598767175,0.2,0.25,-20,2,400,0.7,1,eq,0.5,6.5,0,5
5.327510845438027,-97.19987474980884,0.6968241909147566,-365.72129360988544,0.20430520833333332,-257.81494052253805,2.8442700602312776,-121.97986193565691,0.2,0.25,-20,2,400,0.7,1,eq,0.5,6.5,5,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-348.0515354700857,0.20430520833333332,-245.59670330809678,2.8442700602312776,-121.80433363161391,0.2,0.25,-20,2,400,0.7,1,eff,1,6.5,5,5
3.7378786914194815,-97.3964960215078,0.6968241909147566,-314.32480908158317,0.20430520833333332,-206.56963566226085,2.8442700602312776,-121.24366723797519,0.2,0.25,-20,2,400,0.7,1,eff,1,35,0,5
3.7378786914194815,-97.3964960215078,0.6968241909147566,-328.4883382253419,0.20430520833333332,-214.24758828705762,2.8442700602312776,-121.35396940178988,0.2,0.25,-20,2,400,0.7,1,eq,1,35,0,5
3.7378786914194815,-100.40969001363109,0.6968241909147566,-331.5015322174652,0.20430520833333332,-217.77341326257755,2.8442700602312776,-121.40462172318811,0.2,0.25,-20,2,400,0.7,1,eq,0.5,35,0,5
5.327510845438027,-97.19987474980884,0.6968241909147566,-350.4475789101096,0.20430520833333332,-248.36929820323164,2.8442700602312776,-121.84416498135775,0.2,0.25,-20,2,400,0.7,1,eff,0.5,6.5,5,5
5.327510845438027,-99.12385130279266,0.6968241909147566,-367.6452701628692,0.20430520833333332,-260.06624083707646,2.8442700602312776,-122.01220432017334,0.2,0.25,-20,2,400,0.7,1,eq,0.5,35,5,5
3.7378786914194815,-97.91502633725602,0.6968241909147566,-314.84333939733136,0.20430520833333332,-207.1696558800212,2.8442700602312776,-121.25228718284676,0.2,0.25,-20,2,400,0.7,1,eff,0.5,6.5,0,5
5.327510845438027,-94.80383130978498,0.6968241909147566,-348.0515354700857,0.20430520833333332,-245.59670330809678,2.8442700602312776,-121.80433363161391,0.2,0.25,-20,2,400,0.7,1,eff,1,35,5,5
5.327510845438027,-94.80383130978498,0.664380693404857,-375.73048077340303,0.20430520833333332,-268.58926588184846,2.8442700602312776,-122.13464687102305,0.2,0.25,-20,2,400,0.8,0.5,eq,1,6.5,5,5
5.327510845438027,-97.19987474980884,0.664380693404857,-378.126524213427,0.20430520833333332,-271.3965449446894,2.8442700602312776,-122.17497649666609,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,6.5,5,5
3.7378786914194815,-96.24059247727779,0.6968241909147566,-313.16890553735317,0.20430520833333332,-205.23207549434278,2.8442700602312776,-121.22445172728347,0.2,0.25,-20,2,400,0.7,1,eff,1,6.5,0,5
3.7378786914194815,-100.40969001363109,0.6968241909147566,-317.3380030737065,0.20430520833333332,-210.0563697261909,2.8442700602312776,-121.293757975792,0.2,0.25,-20,2,400,0.7,1,eff,0.5,35,0,5
5.327510845438027,-99.12385130279266,0.6968241909147566,-352.3715554630934,0.20430520833333332,-250.59563829381793,2.8442700602312776,-121.87614878503294,0.2,0.25,-20,2,400,0.7,1,eff,0.5,35,5,5
5.327510845438027,-94.80383130978498,0.664380693404857,-375.73048077340303,0.20430520833333332,-268.58926588184846,2.8442700602312776,-122.13464687102305,0.2,0.25,-20,2,400,0.8,0.5,eq,1,35,5,5
3.7378786914194815,-96.24059247727779,0.664380693404857,-339.23199218772845,0.20430520833333332,-225.8265007658531,2.8442700602312776,-121.52031310869238,0.2,0.25,-20,2,400,0.8,0.5,eq,1,6.5,0,5
3.7378786914194815,-97.3964960215078,0.664380693404857,-340.38789573195845,0.20430520833333332,-227.18079333179227,2.8442700602312776,-121.53976899853191,0.2,0.25,-20,2,400,0.8,0.5,eq,1,35,0,5
5.327510845438027,-99.12385130279266,0.664380693404857,-364.0538329381154,0.20430520833333332,-263.3140991135639,2.8442700602312776,-122.05886334676109,0.2,0.25,-20,2,400,0.7,0.5,eff,0.5,35,5,5
5.327510845438027,-99.12385130279266,0.664380693404857,-380.05050076641083,0.20430520833333332,-273.6507357512289,2.8442700602312776,-122.2073604062528,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,35,5,5
5.327510845438027,-94.80383130978498,0.664380693404857,-359.73381294510773,0.20430520833333332,-258.30973039255434,2.8442700602312776,-121.98697013180804,0.2,0.25,-20,2,400,0.8,0.5,eff,1,35,5,5
3.7378786914194815,-97.91502633725602,0.664380693404857,-340.90642604770665,0.20430520833333332,-227.78831958719942,2.8442700602312776,-121.54849677582102,0.2,0.25,-20,2,400,0.8,0.5,eq,0.5,6.5,0,5
